well,row,column,protein,protein_conc,protein_unit,compound,compound_conc,compound_unit,substrate,substrate_conc,substrate_unit,role,exclude,group,notes
D3,D,3,Protein-X,5.0,nM,Compound-1,3.3333333333333335,uM,FRET-substrate,6.25,uM,sample,False,,Inhibitor dose-response
D4,D,4,Protein-X,5.0,nM,Compound-1,3.3333333333333335,uM,FRET-substrate,6.25,uM,sample,False,,Inhibitor dose-response
D5,D,5,Protein-X,5.0,nM,Compound-1,1.1111111111111112,uM,FRET-substrate,6.25,uM,sample,False,,Inhibitor dose-response
D6,D,6,Protein-X,5.0,nM,Compound-1,1.1111111111111112,uM,FRET-substrate,6.25,uM,sample,False,,Inhibitor dose-response
D7,D,7,Protein-X,5.0,nM,Compound-1,0.37037037037037035,uM,FRET-substrate,6.25,uM,sample,False,,Inhibitor dose-response
D8,D,8,Protein-X,5.0,nM,Compound-1,0.37037037037037035,uM,FRET-substrate,6.25,uM,sample,False,,Inhibitor dose-response
D9,D,9,Protein-X,5.0,nM,Compound-1,0.12345679012345677,uM,FRET-substrate,6.25,uM,sample,False,,Inhibitor dose-response
D10,D,10,Protein-X,5.0,nM,Compound-1,0.12345679012345677,uM,FRET-substrate,6.25,uM,sample,False,,Inhibitor dose-response
D11,D,11,Protein-X,5.0,nM,Compound-1,0.0411522633744856,uM,FRET-substrate,6.25,uM,sample,False,,Inhibitor dose-response
D12,D,12,Protein-X,5.0,nM,Compound-1,0.0411522633744856,uM,FRET-substrate,6.25,uM,sample,False,,Inhibitor dose-response
E1,E,1,Protein-X,5.0,nM,Compound-1,10.0,uM,FRET-substrate,3.125,uM,sample,False,,Inhibitor dose-response
E2,E,2,Protein-X,5.0,nM,Compound-1,10.0,uM,FRET-substrate,3.125,uM,sample,False,,Inhibitor dose-response
E3,E,3,Protein-X,5.0,nM,Compound-1,3.3333333333333335,uM,FRET-substrate,3.125,uM,sample,False,,Inhibitor dose-response
E4,E,4,Protein-X,5.0,nM,Compound-1,3.3333333333333335,uM,FRET-substrate,3.125,uM,sample,False,,Inhibitor dose-response
E5,E,5,Protein-X,5.0,nM,Compound-1,1.1111111111111112,uM,FRET-substrate,3.125,uM,sample,False,,Inhibitor dose-response
E6,E,6,Protein-X,5.0,nM,Compound-1,1.1111111111111112,uM,FRET-substrate,3.125,uM,sample,False,,Inhibitor dose-response
E7,E,7,Protein-X,5.0,nM,Compound-1,0.37037037037037035,uM,FRET-substrate,3.125,uM,sample,False,,Inhibitor dose-response
E8,E,8,Protein-X,5.0,nM,Compound-1,0.37037037037037035,uM,FRET-substrate,3.125,uM,sample,False,,Inhibitor dose-response
E9,E,9,Protein-X,5.0,nM,Compound-1,0.12345679012345677,uM,FRET-substrate,3.125,uM,sample,False,,Inhibitor dose-response
E10,E,10,Protein-X,5.0,nM,Compound-1,0.12345679012345677,uM,FRET-substrate,3.125,uM,sample,False,,Inhibitor dose-response
E11,E,11,Protein-X,5.0,nM,Compound-1,0.0411522633744856,uM,FRET-substrate,3.125,uM,sample,False,,Inhibitor dose-response
E12,E,12,Protein-X,5.0,nM,Compound-1,0.0411522633744856,uM,FRET-substrate,3.125,uM,sample,False,,Inhibitor dose-response
F1,F,1,Protein-X,5.0,nM,Compound-1,10.0,uM,FRET-substrate,1.5625,uM,sample,False,,Inhibitor dose-response
F2,F,2,Protein-X,5.0,nM,Compound-1,10.0,uM,FRET-substrate,1.5625,uM,sample,False,,Inhibitor dose-response
F3,F,3,Protein-X,5.0,nM,Compound-1,3.3333333333333335,uM,FRET-substrate,1.5625,uM,sample,False,,Inhibitor dose-response
F4,F,4,Protein-X,5.0,nM,Compound-1,3.3333333333333335,uM,FRET-substrate,1.5625,uM,sample,False,,Inhibitor dose-response
F5,F,5,Protein-X,5.0,nM,Compound-1,1.1111111111111112,uM,FRET-substrate,1.5625,uM,sample,False,,Inhibitor dose-response
F6,F,6,Protein-X,5.0,nM,Compound-1,1.1111111111111112,uM,FRET-substrate,1.5625,uM,sample,False,,Inhibitor dose-response
F7,F,7,Protein-X,5.0,nM,Compound-1,0.37037037037037035,uM,FRET-substrate,1.5625,uM,sample,False,,Inhibitor dose-response
F8,F,8,Protein-X,5.0,nM,Compound-1,0.37037037037037035,uM,FRET-substrate,1.5625,uM,sample,False,,Inhibitor dose-response
F9,F,9,Protein-X,5.0,nM,Compound-1,0.12345679012345677,uM,FRET-substrate,1.5625,uM,sample,False,,Inhibitor dose-response
F10,F,10,Protein-X,5.0,nM,Compound-1,0.12345679012345677,uM,FRET-substrate,1.5625,uM,sample,False,,Inhibitor dose-response
F11,F,11,Protein-X,5.0,nM,Compound-1,0.0411522633744856,uM,FRET-substrate,1.5625,uM,sample,False,,Inhibitor dose-response
F12,F,12,Protein-X,5.0,nM,Compound-1,0.0411522633744856,uM,FRET-substrate,1.5625,uM,sample,False,,Inhibitor dose-response
G1,G,1,Protein-X,5.0,nM,DMSO,0.0,uM,FRET-substrate,50.0,uM,positive_control,False,,No-inhibitor controls
G2,G,2,Protein-X,5.0,nM,DMSO,0.0,uM,FRET-substrate,50.0,uM,positive_control,False,,No-inhibitor controls
G3,G,3,Protein-X,5.0,nM,DMSO,0.0,uM,FRET-substrate,25.0,uM,positive_control,False,,No-inhibitor controls
G4,G,4,Protein-X,5.0,nM,DMSO,0.0,uM,FRET-substrate,25.0,uM,positive_control,False,,No-inhibitor controls
G5,G,5,Protein-X,5.0,nM,DMSO,0.0,uM,FRET-substrate,12.5,uM,positive_control,False,,No-inhibitor controls
G6,G,6,Protein-X,5.0,nM,DMSO,0.0,uM,FRET-substrate,12.5,uM,positive_control,False,,No-inhibitor controls
G7,G,7,Protein-X,5.0,nM,DMSO,0.0,uM,FRET-substrate,6.25,uM,positive_control,False,,No-inhibitor controls
G8,G,8,Protein-X,5.0,nM,DMSO,0.0,uM,FRET-substrate,6.25,uM,positive_control,False,,No-inhibitor controls
G9,G,9,Protein-X,5.0,nM,DMSO,0.0,uM,FRET-substrate,3.125,uM,positive_control,False,,No-inhibitor controls
G10,G,10,Protein-X,5.0,nM,DMSO,0.0,uM,FRET-substrate,3.125,uM,positive_control,False,,No-inhibitor controls
G11,G,11,Protein-X,5.0,nM,DMSO,0.0,uM,FRET-substrate,1.5625,uM,positive_control,False,,No-inhibitor controls
G12,G,12,Protein-X,5.0,nM,DMSO,0.0,uM,FRET-substrate,1.5625,uM,positive_control,False,,No-inhibitor controls
H1,H,1,Protein-X,5.0,nM,DMSO,0.0,uM,FRET-substrate,0.0,uM,blank,False,,No-substrate / no-inhibitor background
H2,H,2,Protein-X,5.0,nM,DMSO,0.0,uM,FRET-substrate,0.0,uM,blank,False,,No-substrate / no-inhibitor background
H3,H,3,,,,,,,,,,empty,False,,Unused wells
H4,H,4,,,,,,,,,,empty,False,,Unused wells
H5,H,5,,,,,,,,,,empty,False,,Unused wells
H6,H,6,,,,,,,,,,empty,False,,Unused wells
H7,H,7,,,,,,,,,,empty,False,,Unused wells
H8,H,8,,,,,,,,,,empty,False,,Unused wells
H9,H,9,,,,,,,,,,empty,False,,Unused wells
H10,H,10,,,,,,,,,,empty,False,,Unused wells
H11,H,11,,,,,,,,,,empty,False,,Unused wells
H12,H,12,,,,,,,,,,empty,False,,Unused wells
