Time,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:11:01,1504,1464,1489,1467,1439,1744,1698,1796,2010,2087,1950,2269,783,730,768,733,768,821,950,874,1070,1065,1175,1201,366,365,397,392,387,423,567,506,607,612,722,764,227,192,210,193,225,233,248,235,365,359,450,439,113,114,97,105,113,110,134,206,177,200,288,270,45,55,59,35,35,51,61,62,91,86,150,144,2232,2107,1321,1396,834,877,553,565,347,313,193,200,2,8,6,0,5,0,8,0,4,0,15,7
0:12:01,1485,1448,1477,1472,1396,1714,1703,1836,2099,2126,1998,2306,768,705,780,756,762,817,940,889,1075,1094,1222,1236,363,369,391,406,399,413,554,526,615,648,738,784,235,183,198,195,240,252,267,249,375,361,468,485,96,100,92,109,110,100,133,193,182,194,284,281,39,53,31,63,66,51,69,67,100,98,177,149,2245,2115,1360,1398,871,898,572,590,343,357,198,210,3,25,8,0,0,0,6,5,6,0,8,9
0:13:01,1462,1475,1471,1452,1421,1743,1746,1871,2100,2179,2030,2366,753,710,759,733,772,822,959,896,1097,1131,1240,1265,363,363,376,383,397,409,582,539,632,644,772,830,207,178,175,191,237,235,268,268,376,371,476,487,104,122,97,112,104,99,141,195,208,204,294,282,54,53,52,38,43,48,71,78,92,101,191,165,2299,2194,1415,1480,902,952,598,619,364,369,211,196,7,12,0,0,5,7,0,0,7,2,20,7
0:14:01,1483,1425,1486,1527,1415,1728,1770,1885,2161,2216,2094,2437,769,736,765,754,785,856,985,904,1117,1186,1335,1327,353,374,388,383,414,422,595,542,637,674,797,866,211,181,198,204,244,237,284,276,396,375,544,526,102,98,100,99,114,112,130,195,201,212,312,329,47,46,55,48,50,52,68,69,109,113,176,165,2365,2284,1460,1521,940,973,653,619,368,381,234,216,7,9,10,0,0,4,0,0,7,3,3,0
0:15:01,1482,1447,1492,1465,1441,1736,1778,1870,2145,2233,2137,2459,760,733,769,753,784,841,991,918,1154,1169,1351,1342,380,379,375,375,417,413,597,556,662,695,849,887,207,196,191,208,244,266,269,270,397,390,539,544,106,87,103,111,103,102,140,197,224,222,327,325,54,46,52,55,51,44,75,81,106,110,187,173,2433,2305,1499,1566,1007,1026,667,653,383,405,228,230,6,9,0,7,0,0,0,0,0,4,6,7
0:16:01,1490,1470,1504,1483,1466,1727,1825,1898,2234,2289,2158,2525,785,713,760,757,778,828,1009,915,1191,1214,1366,1404,373,373,398,371,381,441,595,553,708,698,862,935,211,186,191,192,233,249,259,276,429,413,571,543,96,100,97,95,112,111,151,209,214,231,345,325,35,48,46,46,56,59,71,57,115,113,193,176,2444,2379,1562,1615,1024,1077,680,690,424,425,246,245,0,1,0,12,0,6,0,4,1,3,2,0
0:17:01,1465,1467,1477,1482,1449,1748,1816,1911,2282,2319,2217,2603,756,726,754,762,787,825,990,950,1233,1252,1406,1448,381,356,389,383,394,437,605,580,713,721,917,960,232,197,195,203,217,250,284,270,418,419,584,564,106,107,105,105,111,109,152,211,225,230,340,344,66,46,50,42,58,62,81,80,100,119,193,171,2531,2415,1606,1649,1063,1118,711,720,433,425,249,249,6,0,9,13,0,4,11,5,11,11,17,0
0:18:01,1493,1481,1518,1505,1482,1758,1863,1950,2304,2370,2305,2584,761,719,776,752,795,862,1029,971,1242,1264,1457,1497,377,363,386,381,405,432,613,571,745,748,925,979,227,188,196,196,234,240,301,260,435,417,615,591,97,100,105,107,114,111,150,210,227,246,370,373,42,49,32,48,57,56,64,71,125,132,196,184,2553,2478,1653,1707,1083,1150,737,758,459,464,268,253,7,0,0,0,4,3,14,9,13,0,5,9
0:19:01,1507,1483,1519,1483,1453,1754,1880,1989,2309,2413,2333,2631,789,725,767,768,800,856,1040,979,1262,1260,1481,1495,362,374,394,385,416,458,610,584,755,754,953,998,211,197,200,212,238,247,296,293,453,439,624,622,94,83,97,101,118,111,157,224,223,248,353,362,55,39,61,57,46,58,63,76,120,118,204,194,2629,2460,1686,1766,1150,1185,745,764,456,467,264,277,2,8,1,10,0,12,6,5,0,13,7,5
0:20:01,1455,1484,1540,1505,1512,1764,1856,2022,2379,2443,2382,2732,798,706,772,775,799,864,1060,979,1302,1314,1568,1536,370,364,377,386,399,447,652,585,773,807,991,1045,223,189,187,201,248,251,308,287,466,472,656,641,82,92,105,99,116,110,141,230,222,256,403,386,33,61,49,47,54,59,70,67,125,111,197,207,2704,2553,1717,1789,1196,1221,750,818,486,491,265,282,14,9,11,8,14,7,9,0,2,4,4,0
0:21:01,1448,1440,1507,1475,1505,1783,1929,2037,2388,2508,2429,2762,756,692,779,756,815,866,1060,989,1289,1360,1560,1563,356,361,401,387,430,443,645,619,787,808,1005,1064,204,189,205,194,240,255,296,296,459,457,676,676,100,101,107,125,100,126,147,224,250,267,393,383,46,50,41,46,43,50,69,74,111,122,235,201,2733,2628,1776,1812,1232,1267,795,826,491,504,288,287,7,0,0,8,4,0,8,0,10,17,0,0
0:22:01,1489,1470,1527,1529,1486,1781,1979,2047,2466,2515,2470,2783,788,716,783,759,814,910,1087,1008,1349,1364,1598,1640,373,359,401,377,410,445,650,617,815,847,1053,1119,223,192,180,194,250,267,320,309,500,486,700,691,91,95,120,98,104,114,147,223,244,277,405,409,50,48,51,51,70,66,85,79,122,117,233,214,2817,2666,1815,1897,1274,1326,833,865,532,524,315,309,0,5,15,6,0,0,0,12,4,4,0,12
0:23:01,1501,1476,1507,1507,1552,1813,1957,2049,2473,2572,2511,2853,763,714,794,747,821,888,1097,1032,1350,1434,1653,1673,375,371,395,410,420,465,667,619,807,827,1068,1142,217,187,195,195,248,260,308,285,487,487,725,710,103,104,100,105,120,111,156,231,253,263,451,417,52,41,57,61,57,52,92,96,139,141,236,215,2829,2723,1875,1925,1287,1348,872,898,540,536,317,326,17,12,10,0,12,0,17,9,3,0,3,10
0:24:01,1454,1487,1534,1518,1506,1794,1995,2095,2496,2581,2568,2873,767,716,769,761,840,876,1109,1032,1414,1414,1677,1720,368,365,385,390,424,456,676,611,832,862,1097,1176,214,194,187,209,251,235,304,308,510,493,759,731,95,91,96,110,107,122,153,231,254,286,425,439,46,48,36,38,54,57,84,82,142,152,254,233,2892,2732,1907,1993,1347,1381,909,908,552,535,327,320,0,15,11,2,11,19,6,0,2,5,0,0
0:25:01,1468,1450,1518,1488,1553,1793,2010,2109,2566,2612,2630,2985,767,725,794,775,859,897,1119,1057,1438,1449,1746,1764,358,364,400,406,445,434,665,641,878,874,1128,1200,216,180,188,196,251,270,327,317,499,532,747,741,99,102,112,111,122,128,168,228,260,280,444,449,49,51,53,57,70,73,90,82,140,137,253,242,2957,2808,1970,2045,1353,1435,920,950,565,570,336,322,10,9,0,5,5,0,4,3,10,4,8,0
0:26:01,1486,1475,1549,1484,1545,1809,2033,2157,2596,2651,2656,3053,783,698,804,764,832,863,1189,1052,1472,1482,1769,1818,377,370,400,400,441,465,713,640,898,895,1190,1234,211,192,200,220,239,254,332,316,543,524,763,754,98,98,97,103,112,120,160,224,272,310,462,459,47,48,49,49,54,64,75,91,160,138,268,250,2978,2877,2010,2073,1421,1456,950,977,578,575,359,332,10,10,0,0,10,0,0,6,7,9,5,0
0:27:01,1486,1499,1535,1511,1540,1840,2107,2131,2668,2683,2690,3062,743,721,782,749,855,909,1160,1110,1500,1518,1798,1832,342,372,381,405,424,452,702,656,898,924,1190,1280,230,199,203,203,250,263,339,315,544,540,815,783,115,90,96,106,122,110,167,240,285,295,477,451,47,60,58,39,54,60,78,92,139,148,281,239,3049,2909,2079,2127,1438,1492,987,992,609,601,354,340,16,13,15,1,2,0,7,0,5,3,18,0
0:28:01,1474,1489,1525,1521,1536,1802,2065,2174,2658,2734,2772,3125,772,698,786,764,853,901,1202,1111,1531,1540,1853,1854,365,377,394,395,442,453,711,657,929,928,1245,1270,215,194,202,213,249,258,343,335,548,552,793,791,101,93,102,110,114,131,171,235,266,305,482,476,49,54,58,59,69,57,77,99,146,146,276,268,3076,2954,2067,2165,1474,1538,984,1043,635,609,341,359,8,22,6,8,5,10,7,8,1,11,9,4
0:29:01,1457,1470,1522,1522,1548,1851,2118,2201,2700,2765,2791,3171,766,728,794,761,843,915,1185,1104,1558,1558,1903,1922,369,370,381,403,445,470,716,668,943,970,1251,1322,208,198,209,190,265,276,330,315,567,564,843,810,107,104,93,81,102,130,179,244,301,312,507,509,59,40,55,48,66,57,84,86,166,140,283,252,3147,2998,2148,2221,1516,1606,999,1062,633,648,373,361,0,18,22,0,4,2,6,4,18,6,0,2
0:30:01,1528,1439,1546,1502,1564,1847,2148,2221,2745,2819,2865,3218,782,736,792,763,833,915,1199,1133,1590,1587,1934,1959,375,372,401,400,463,466,723,668,944,973,1270,1379,233,201,207,195,254,271,341,324,570,595,852,836,100,97,106,104,128,121,193,237,293,325,523,510,39,52,52,61,59,63,99,81,152,169,308,269,3224,3028,2221,2270,1550,1593,1050,1066,678,642,380,379,11,25,1,8,0,0,5,17,3,8,6,0
0:31:01,1467,1494,1555,1537,1607,1855,2151,2251,2799,2898,2892,3289,752,719,819,776,857,903,1235,1167,1592,1640,1997,2018,374,357,417,407,463,485,722,683,966,1002,1307,1417,216,202,192,230,269,268,364,322,587,582,874,889,103,106,101,98,107,102,179,251,297,340,539,523,48,57,49,49,60,55,101,108,153,169,308,278,3287,3146,2227,2316,1618,1669,1101,1127,678,676,395,389,3,2,0,5,0,8,0,0,2,0,12,1
0:32:01,1531,1462,1556,1519,1592,1847,2204,2279,2820,2914,2933,3299,770,727,817,765,856,924,1248,1153,1615,1690,2008,2043,363,382,418,386,461,470,746,696,978,1003,1354,1414,219,178,194,215,254,275,365,346,583,606,914,892,103,105,114,110,113,131,164,256,310,332,531,534,40,44,47,47,45,67,100,94,155,150,285,285,3287,3180,2287,2394,1623,1673,1091,1139,690,681,417,391,0,16,3,0,0,8,9,8,0,3,0,0
0:33:01,1465,1448,1566,1499,1647,1873,2191,2277,2829,2912,2960,3364,782,706,808,771,876,928,1246,1134,1668,1666,2060,2067,350,379,397,395,440,478,744,689,1021,1062,1378,1442,201,206,189,198,259,250,364,355,606,609,906,901,100,95,111,94,126,133,185,249,325,345,557,555,50,38,47,54,61,60,94,85,170,168,322,279,3346,3236,2318,2390,1686,1753,1133,1153,706,686,420,400,2,0,10,16,15,5,0,1,0,4,0,0
0:34:01,1468,1467,1534,1522,1596,1851,2204,2271,2894,2943,3069,3429,784,719,793,764,881,939,1262,1184,1685,1719,2099,2132,364,359,396,397,456,471,777,711,1039,1056,1389,1454,223,184,194,218,253,273,373,350,637,619,931,944,107,101,109,107,115,130,185,249,336,363,563,544,49,59,54,37,60,71,95,103,170,173,312,296,3425,3244,2367,2456,1736,1765,1132,1184,733,741,415,415,15,8,3,0,0,0,7,12,3,6,2,13
0:35:01,1500,1471,1549,1541,1634,1873,2271,2336,2962,2996,3093,3475,777,738,794,784,883,936,1279,1213,1735,1788,2103,2141,383,363,404,405,457,478,778,718,1065,1059,1419,1523,209,189,198,213,255,280,356,362,632,643,971,930,92,115,106,95,125,130,191,251,323,354,583,579,43,33,54,53,73,56,109,97,186,169,322,297,3491,3299,2427,2504,1741,1858,1168,1188,723,757,439,430,2,15,0,0,10,0,8,0,2,0,1,15
0:36:01,1502,1465,1555,1549,1624,1881,2295,2348,2973,3035,3106,3493,780,738,792,787,905,938,1327,1237,1735,1801,2160,2174,380,395,403,409,467,488,771,721,1067,1081,1455,1554,206,206,202,210,253,280,383,360,653,642,983,967,103,100,115,115,113,129,199,270,329,342,594,593,47,58,43,53,63,71,100,107,181,185,327,327,3520,3399,2509,2540,1764,1894,1206,1223,757,758,428,418,0,13,28,2,6,4,0,5,3,0,0,9
0:37:01,1474,1469,1563,1576,1634,1913,2293,2376,2961,3104,3191,3548,785,721,804,783,914,962,1322,1235,1786,1829,2241,2229,373,379,427,397,455,493,789,739,1087,1089,1491,1577,222,182,211,210,273,276,384,375,676,637,987,986,101,95,114,102,118,125,195,264,333,364,604,593,46,45,52,52,64,74,90,105,178,171,322,329,3584,3444,2479,2634,1845,1893,1255,1265,786,767,452,453,14,10,11,10,8,0,0,14,2,0,3,0
0:38:01,1481,1474,1593,1550,1675,1907,2335,2405,3051,3138,3227,3597,766,717,818,788,897,974,1356,1254,1813,1842,2260,2294,376,381,411,407,459,495,795,739,1088,1139,1514,1630,206,200,219,234,266,280,380,373,667,666,1046,1019,99,94,102,96,127,120,189,258,362,372,622,602,50,61,52,53,65,74,95,103,172,174,356,326,3632,3483,2559,2678,1852,1954,1281,1272,785,796,487,465,10,14,16,0,0,0,3,1,0,4,9,0
0:39:01,1487,1495,1596,1552,1672,1934,2373,2400,3105,3188,3263,3687,774,726,815,774,904,976,1344,1260,1844,1890,2322,2331,358,379,402,421,488,494,819,764,1118,1155,1566,1637,213,204,200,231,264,277,384,382,684,702,1050,1058,95,90,109,115,140,149,210,262,347,383,635,635,60,53,46,50,77,65,108,107,188,174,364,341,3695,3526,2626,2705,1890,1976,1307,1328,795,804,462,465,17,3,8,0,10,3,13,0,3,11,9,0
0:40:01,1508,1477,1567,1571,1663,1946,2379,2458,3104,3216,3324,3747,791,725,816,789,921,977,1373,1231,1899,1931,2328,2348,363,378,412,432,456,500,819,752,1141,1169,1562,1689,214,189,206,217,284,292,404,387,686,690,1097,1068,99,95,120,110,136,136,205,258,367,393,648,616,50,44,51,48,67,61,104,99,180,186,370,335,3782,3581,2640,2785,1943,2014,1329,1345,842,805,483,476,6,2,2,3,1,1,4,3,0,0,2,16
0:41:01,1514,1470,1545,1546,1686,1959,2405,2454,3188,3237,3368,3775,787,729,830,800,902,991,1393,1289,1898,1930,2372,2385,365,368,413,402,475,499,839,773,1156,1220,1610,1721,215,202,203,210,272,284,409,394,717,712,1081,1101,91,109,100,118,138,137,193,267,386,396,647,658,57,48,53,57,70,71,113,118,189,196,384,340,3736,3656,2676,2810,1957,2073,1358,1384,851,844,488,483,10,4,0,7,9,0,0,0,1,4,0,15
0:42:01,1458,1488,1589,1546,1688,1956,2447,2500,3168,3287,3429,3787,786,734,816,767,923,984,1396,1289,1929,1974,2415,2472,382,380,408,417,474,501,825,775,1179,1208,1615,1761,203,196,207,200,267,304,413,386,709,719,1120,1084,103,112,113,103,135,121,210,280,372,405,679,628,57,50,54,54,62,66,94,112,195,193,376,355,3860,3678,2764,2859,2000,2102,1390,1399,867,846,513,503,0,5,6,9,0,0,3,0,0,0,0,0
0:43:01,1504,1486,1619,1574,1682,1966,2479,2519,3281,3316,3481,3883,764,724,832,780,916,976,1423,1304,1976,2009,2487,2504,383,379,404,418,482,496,826,784,1193,1214,1686,1764,212,182,191,210,272,285,397,400,731,732,1133,1115,105,105,117,108,131,130,212,286,376,401,680,672,51,42,57,48,70,78,97,113,196,192,382,370,3929,3733,2827,2918,2049,2108,1407,1440,895,856,517,492,0,12,0,5,14,0,6,6,0,0,5,1
0:44:01,1509,1492,1582,1569,1716,1968,2452,2527,3281,3320,3536,3898,762,730,830,792,924,1000,1408,1348,1964,2025,2469,2538,372,383,419,409,473,504,849,798,1220,1232,1705,1810,206,194,234,228,280,288,429,405,738,743,1163,1150,97,115,119,129,129,126,203,299,390,409,692,701,30,28,51,57,63,73,122,112,209,207,385,360,3962,3765,2834,2968,2079,2171,1429,1451,881,886,513,527,13,1,8,10,9,0,0,15,0,0,10,6
0:45:01,1473,1469,1598,1573,1692,1956,2530,2502,3287,3400,3569,3960,755,723,831,809,933,1000,1437,1339,2014,2079,2562,2556,368,378,406,418,489,526,857,813,1240,1274,1739,1819,197,205,207,220,271,296,421,415,770,767,1171,1161,108,100,96,111,136,153,223,287,416,424,709,689,57,57,56,40,68,54,115,93,197,200,409,381,3998,3817,2872,3010,2099,2230,1443,1504,895,887,535,511,0,7,1,3,0,11,14,11,0,4,4,8
0:46:01,1519,1487,1599,1550,1726,1960,2502,2553,3376,3403,3596,3993,792,726,821,807,951,1005,1447,1335,2027,2098,2605,2595,385,386,401,416,498,524,860,826,1276,1273,1727,1842,209,199,204,212,268,304,436,422,763,780,1196,1163,101,104,111,111,133,140,202,287,409,414,731,707,50,45,55,29,63,60,119,125,219,204,413,376,4065,3902,2907,3054,2168,2252,1475,1540,927,936,530,516,0,12,9,17,5,15,1,8,1,0,3,2
0:47:01,1510,1471,1630,1575,1723,2009,2512,2580,3358,3418,3678,4047,767,745,799,798,936,1001,1487,1360,2075,2117,2607,2642,378,356,418,419,468,512,865,822,1275,1274,1772,1889,213,204,200,211,271,293,457,428,783,775,1213,1188,101,99,100,100,123,136,220,303,410,435,725,717,44,48,53,57,65,71,110,129,212,211,408,390,4090,3962,2992,3127,2186,2300,1517,1536,955,955,538,533,6,5,1,7,1,0,0,9,0,2,0,1
0:48:01,1520,1494,1617,1595,1761,1991,2597,2580,3461,3447,3681,4106,769,714,827,795,941,1016,1503,1372,2082,2137,2692,2699,381,386,418,433,506,521,918,820,1305,1330,1799,1925,211,182,205,217,272,298,459,416,809,783,1228,1217,90,97,113,108,128,135,216,295,415,444,734,720,47,45,50,53,75,71,121,107,221,202,417,408,4165,3979,2990,3151,2249,2360,1509,1572,983,938,566,540,7,16,4,0,0,11,0,3,0,0,2,0
0:49:01,1526,1486,1639,1609,1746,2020,2614,2615,3486,3511,3722,4169,773,720,809,785,960,1017,1527,1420,2123,2164,2703,2726,366,386,414,423,483,522,917,815,1323,1349,1868,1920,207,190,195,213,285,298,429,427,794,802,1261,1222,107,102,110,115,141,131,210,307,420,450,771,742,55,49,70,52,67,74,111,124,221,231,431,389,4240,4064,3102,3167,2255,2375,1587,1585,968,973,548,550,15,10,10,7,1,10,0,2,2,9,1,0
0:50:01,1508,1503,1608,1589,1782,2010,2596,2650,3464,3590,3756,4243,752,716,837,796,953,1017,1544,1402,2165,2224,2750,2764,366,383,429,419,488,539,907,846,1310,1357,1875,1993,223,206,214,218,277,299,449,434,804,818,1286,1293,97,104,99,116,126,159,217,295,427,462,766,760,46,44,59,42,72,60,121,122,214,223,425,399,4292,4125,3147,3250,2320,2436,1605,1663,1001,983,568,571,6,8,7,6,0,0,0,8,13,0,4,0
0:51:01,1497,1487,1600,1594,1794,2017,2630,2664,3539,3564,3836,4263,777,713,822,794,950,1037,1557,1405,2180,2224,2769,2805,371,384,416,426,514,533,902,845,1346,1372,1928,2002,213,186,214,203,287,305,464,441,807,833,1313,1265,101,114,108,116,124,158,225,286,412,471,758,757,52,51,58,58,66,71,113,109,231,221,449,402,4310,4153,3167,3282,2378,2449,1606,1666,1002,985,580,580,8,7,3,4,6,8,5,0,12,0,10,2
0:52:01,1518,1477,1628,1634,1805,2030,2651,2695,3614,3649,3852,4307,769,727,830,810,985,1040,1562,1420,2230,2297,2826,2873,387,376,424,431,513,520,926,859,1386,1402,1919,2044,200,195,227,207,289,296,467,462,840,849,1336,1313,104,106,109,109,144,138,233,312,439,460,802,786,45,50,52,58,66,70,106,118,222,231,459,419,4414,4187,3215,3345,2410,2507,1637,1681,1028,1013,572,572,11,2,16,19,12,0,2,0,7,4,0,0
0:53:01,1522,1488,1641,1627,1797,2027,2672,2701,3607,3648,3958,4276,781,740,831,792,983,1064,1576,1461,2234,2317,2855,2895,366,387,416,419,488,542,939,879,1407,1416,1962,2072,220,178,197,216,291,301,473,432,866,859,1363,1327,95,105,109,114,135,150,235,295,452,486,803,799,56,36,51,49,73,86,105,132,214,241,444,410,4415,4266,3245,3405,2479,2531,1693,1718,1057,1026,597,592,13,12,14,14,1,15,0,0,0,8,2,1
0:54:01,1507,1495,1648,1615,1810,2009,2699,2728,3601,3686,4023,4401,808,743,851,821,989,1061,1589,1435,2273,2290,2877,2909,382,389,422,413,507,559,925,873,1447,1419,1991,2103,200,182,226,207,288,305,467,441,840,866,1379,1339,98,96,117,112,125,127,243,314,462,472,823,794,41,44,56,55,56,70,138,111,237,227,468,422,4481,4297,3295,3452,2475,2565,1694,1712,1047,1059,618,594,10,9,14,10,0,0,6,13,2,0,0,11
0:55:01,1514,1485,1642,1612,1805,2041,2754,2760,3715,3731,3993,4491,781,737,834,819,985,1053,1576,1469,2288,2366,2924,2973,372,375,436,418,520,550,951,865,1415,1465,2037,2149,201,196,221,223,270,295,480,453,860,891,1373,1382,106,98,121,113,140,138,241,302,458,483,817,813,61,49,64,65,70,81,126,135,229,231,450,438,4510,4328,3329,3478,2506,2633,1721,1762,1084,1088,639,620,14,16,0,0,4,11,0,19,5,0,0,5
0:56:01,1493,1482,1622,1600,1803,2082,2747,2774,3695,3844,4107,4526,808,751,830,824,978,1064,1624,1499,2337,2378,2997,3037,371,376,418,423,522,552,955,903,1466,1462,2078,2164,216,192,210,218,289,308,486,462,875,881,1391,1387,90,93,109,111,132,150,253,307,471,510,823,839,51,59,49,48,75,76,130,146,244,249,458,443,4571,4419,3372,3547,2563,2655,1756,1812,1102,1130,618,618,16,14,7,0,7,0,7,0,0,2,14,4
0:57:01,1493,1504,1657,1634,1833,2064,2769,2817,3785,3859,4162,4565,786,735,856,821,981,1055,1611,1513,2360,2387,3013,3029,397,385,431,419,516,547,978,890,1501,1493,2078,2174,205,202,224,227,301,297,491,478,895,893,1415,1404,94,102,123,110,130,156,257,322,462,491,854,811,39,39,56,56,76,65,131,127,249,230,495,455,4661,4454,3470,3598,2611,2661,1805,1834,1089,1104,648,645,0,5,0,1,15,0,2,10,5,2,0,2
0:58:01,1536,1512,1644,1621,1842,2057,2842,2835,3792,3846,4140,4589,797,732,837,819,989,1075,1655,1519,2408,2426,3086,3090,389,388,420,426,515,557,985,901,1481,1514,2125,2244,205,213,220,219,288,316,496,488,926,939,1428,1435,91,103,115,134,126,164,242,322,460,507,885,860,50,39,58,51,53,65,135,138,245,268,510,443,4675,4528,3529,3605,2647,2765,1812,1869,1118,1118,632,643,2,14,0,3,0,13,14,8,1,0,5,8
0:59:01,1513,1488,1639,1625,1854,2068,2808,2842,3831,3861,4210,4608,783,728,859,800,1013,1077,1668,1512,2411,2458,3069,3133,379,370,421,414,530,558,983,909,1491,1522,2106,2257,213,201,212,219,304,293,499,487,928,923,1484,1457,95,101,123,109,134,157,238,329,487,525,881,849,49,50,51,61,69,78,129,149,254,240,506,445,4743,4548,3495,3645,2678,2766,1829,1872,1132,1131,645,634,0,12,0,0,0,6,1,0,8,9,1,0
